"","cod","year","muni.x","uf","voto","reg","metro","population","gdppc","real_gdp","homicide","metro.NA","muni.y"
"1",1100015,2014,"alta floresta d'oeste","RO",44.71,"Norte",NA,24069,13670.26,391683.29,29.08305289,0,"Alta Floresta D'Oeste"
"2",1100015,2018,"alta floresta d'oeste","RO",30.63,"Norte",NA,25506,18732.17,430510.32,3.920646122,0,"Alta Floresta D'Oeste"
"3",1100023,2006,"ariquemes","RO",55.05,"Norte",NA,86901,7562.54818701741,1420937.25,57.53673721,0,"Ariquemes"
"4",1100023,2010,"ariquemes","RO",39.695,"Norte",NA,84581,12589.3758645559,1725722.6,85.125501,0,"Ariquemes"
"5",1100023,2014,"ariquemes","RO",39.97,"Norte",NA,92747,18368.7,2028052.57,80.86514928,0,"Ariquemes"
"6",1100023,2018,"ariquemes","RO",19.19,"Norte",NA,105896,20618.18,1967355.3,57.60368664,0,"Ariquemes"
"7",1100031,2006,"cabixi","RO",50.057,"Norte",NA,7421,5847.19040560571,93819.18,26.95054575,0,"Cabixi"
"8",1100031,2010,"cabixi","RO",49.146,"Norte",NA,6777,8940.2390438247,98193.01,14.75579165,0,"Cabixi"
"9",1100031,2014,"cabixi","RO",46.52,"Norte",NA,6132,16240.46,118549.35,0,0,"Cabixi"
"10",1100031,2018,"cabixi","RO",34.13,"Norte",NA,6289,21202.96,120151.61,15.90077914,0,"Cabixi"
"11",1100049,2006,"cacoal","RO",52.884,"Norte",NA,76417,8144.98082887316,1345742.66,20.93774945,0,"Cacoal"
"12",1100049,2010,"cacoal","RO",39.255,"Norte",NA,78263,11866.3864150365,1505112.45,26.83260289,0,"Cacoal"
"13",1100049,2014,"cacoal","RO",34.93,"Norte",NA,79330,17303.73,1634097.95,17.64780033,0,"Cacoal"
"14",1100049,2018,"cacoal","RO",21.91,"Norte",NA,87877,22130.78,1752366.4,26.17294628,0,"Cacoal"
"15",1100056,2006,"cerejeiras","RO",36.703,"Norte",NA,17217,7049.19556252541,262409.17,11.61642563,0,"Cerejeiras"
"16",1100056,2010,"cerejeiras","RO",33.061,"Norte",NA,16784,9978.19351763584,271419.7,17.87416587,0,"Cerejeiras"
"17",1100056,2014,"cerejeiras","RO",30.93,"Norte",NA,16852,21204.19,425376.99,35.6040826,0,"Cerejeiras"
"18",1100056,2018,"cerejeiras","RO",18.56,"Norte",NA,17959,22721.08,367675.02,33.4094326,0,"Cerejeiras"
"19",1100064,2006,"colorado do oeste","RO",52.218,"Norte",NA,18349,6257.28922557088,248245.05,21.79955311,0,"Colorado do Oeste"
"20",1100064,2010,"colorado do oeste","RO",49.548,"Norte",NA,18216,8620.22397891963,254486.96,16.46903821,0,"Colorado do Oeste"
"21",1100064,2014,"colorado do oeste","RO",45.49,"Norte",NA,18093,12273.84,264358.16,5.526999392,0,"Colorado do Oeste"
"22",1100064,2018,"colorado do oeste","RO",26.04,"Norte",NA,18639,16410.55,275612.1,10.73018939,0,"Colorado do Oeste"
"23",1100072,2006,"corumbiara","RO",43.419,"Norte",NA,9411,7152.16236319201,145530.86,42.50345341,0,"Corumbiara"
"24",1100072,2010,"corumbiara","RO",49.224,"Norte",NA,9761,9834.0333982174,155567.89,0,0,"Corumbiara"
"25",1100072,2014,"corumbiara","RO",48.96,"Norte",NA,8530,20618.11,209361.86,11.72332943,0,"Corumbiara"
"26",1100072,2018,"corumbiara","RO",38.42,"Norte",NA,8749,27040.6,213170.56,45.7195108,0,"Corumbiara"
"27",1100080,2006,"costa marques","RO",54.938,"Norte",NA,11731,4595.08993265706,116549.66,42.62211235,0,"Costa Marques"
"28",1100080,2010,"costa marques","RO",57.1,"Norte",NA,13973,6510.48450583268,147433.76,7.156659271,0,"Costa Marques"
"29",1100080,2014,"costa marques","RO",61.66,"Norte",NA,14355,9341.05,159624.85,0,0,"Costa Marques"
"30",1100080,2018,"costa marques","RO",41.23,"Norte",NA,17031,12102.82,185728.83,29.35822911,0,"Costa Marques"
"31",1100106,2006,"guajara-mirim","RO",65.891,"Norte",NA,42075,7184.48009506833,653584.04,11.8835413,0,"Guajara-Mirim"
"32",1100106,2010,"guajara-mirim","RO",55.998,"Norte",NA,40541,12119.0893169877,796266.44,22.1997484,0,"Guajara-Mirim"
"33",1100106,2014,"guajara-mirim","RO",47.5,"Norte",NA,42202,12230.97,614462.4,23.69555945,0,"Guajara-Mirim"
"34",1100106,2018,"guajara-mirim","RO",31.28,"Norte",NA,47048,15732.01,666927.29,29.75684407,0,"Guajara-Mirim"
"35",1100114,2006,"jaru","RO",40.407,"Norte",NA,56238,7470.500373413,908367.38,24.89419965,0,"Jaru"
"36",1100114,2010,"jaru","RO",38.876,"Norte",NA,53955,13137.5590770086,1148789.21,22.24075619,0,"Jaru"
"37",1100114,2014,"jaru","RO",36.66,"Norte",NA,51765,19413.96,1196331.05,23.18168647,0,"Jaru"
"38",1100114,2018,"jaru","RO",22.06,"Norte",NA,55806,23507.78,1182075.81,43.00612837,0,"Jaru"
"39",1100122,2006,"ji-parana","RO",54.424,"Norte",NA,113441,8228.71801200624,2018292.92,33.49758906,0,"Ji-Parana"
"40",1100122,2010,"ji-parana","RO",41.973,"Norte",NA,110707,13514.7370988284,2424804.08,31.6149837,0,"Ji-Parana"
"41",1100122,2014,"ji-parana","RO",42.66,"Norte",NA,118092,19634.93,2760265.55,6.774379297,0,"Ji-Parana"
"42",1100122,2018,"ji-parana","RO",22.61,"Norte",NA,131560,22739.38,2695598.7,33.44481605,0,"Ji-Parana"
"43",1100130,2014,"machadinho d'oeste","RO",48.76,"Norte",NA,32403,10896.24,420303.41,40.119742,0,"Machadinho D'Oeste"
"44",1100130,2018,"machadinho d'oeste","RO",32.75,"Norte",NA,37899,13523.83,461828.4,50.1332489,0,"Machadinho D'Oeste"
"45",1100148,2014,"nova brasilandia d'oeste","RO",40.56,"Norte",NA,19891,10858.26,257109.68,40.21919461,0,"Nova Brasilândia D'Oeste"
"46",1100148,2018,"nova brasilandia d'oeste","RO",29.33,"Norte",NA,21670,14199.05,277249.32,50.76142132,0,"Nova Brasilândia D'Oeste"
"47",1100155,2006,"ouro preto do oeste","RO",46.99,"Norte",NA,40735,6505.31483981834,572951.7,17.1842396,0,"Ouro Preto do Oeste"
"48",1100155,2010,"ouro preto do oeste","RO",41.731,"Norte",NA,37142,10794.5452587367,649775.91,16.15421894,0,"Ouro Preto do Oeste"
"49",1100155,2014,"ouro preto do oeste","RO",41.14,"Norte",NA,37482,14086.5,628530.81,37.35126194,0,"Ouro Preto do Oeste"
"50",1100155,2018,"ouro preto do oeste","RO",25.42,"Norte",NA,39840,17794.04,638773.72,22.59036145,0,"Ouro Preto do Oeste"
"51",1100189,2006,"pimenta bueno","RO",45.219,"Norte",NA,31416,8412.05118411001,571392.8,22.28163993,0,"Pimenta Bueno"
"52",1100189,2010,"pimenta bueno","RO",41.138,"Norte",NA,33803,12424.2818684732,680644.77,2.958317309,0,"Pimenta Bueno"
"53",1100189,2014,"pimenta bueno","RO",38.57,"Norte",NA,34135,20147.43,818691.16,20.50681119,0,"Pimenta Bueno"
"54",1100189,2018,"pimenta bueno","RO",22.16,"Norte",NA,37786,26493.58,902036.81,37.05075954,0,"Pimenta Bueno"
"55",1100205,2006,"porto velho","RO",68.558,"Norte",NA,380884,8895.43273017507,7325576.01,63.53640478,0,"Porto Velho"
"56",1100205,2010,"porto velho","RO",56.714,"Norte",NA,379186,13891.8683706677,8537032.3,38.23980843,0,"Porto Velho"
"57",1100205,2014,"porto velho","RO",48.61,"Norte","RM Porto Velho",442701,27040.55,14250392.92,41.56304142,1,"Porto Velho"
"58",1100205,2018,"porto velho","RO",31.06,"Norte","RM Porto Velho",511219,28836.46,13283170.28,44.01244868,1,"Porto Velho"
"59",1100254,2006,"presidente medici","RO",51.742,"Norte",NA,25314,5155.76360907008,282186.18,31.6030655,0,"Presidente Medici"
"60",1100254,2010,"presidente medici","RO",47.968,"Norte",NA,22896,8584.46890286513,318542.23,17.47030049,0,"Presidente Medici"
"61",1100254,2014,"presidente medici","RO",46.96,"Norte",NA,21709,12818.15,331257.48,4.606384449,0,"Presidente Medici"
"62",1100254,2018,"presidente medici","RO",27.71,"Norte",NA,22337,17380.72,349820.55,8.953753861,0,"Presidente Medici"
"63",1100262,2006,"rio crespo","RO",53.87,"Norte",NA,3602,6205.71904497501,48330.11,27.76235425,0,"Rio Crespo"
"64",1100262,2010,"rio crespo","RO",39.518,"Norte",NA,3260,11417.1779141104,60321.25,0,0,"Rio Crespo"
"65",1100262,2014,"rio crespo","RO",47.83,"Norte",NA,3374,16628.88,66789.81,59.27682276,0,"Rio Crespo"
"66",1100262,2018,"rio crespo","RO",27.15,"Norte",NA,3790,23890.32,81585.42,0,0,"Rio Crespo"
"67",1100288,2006,"rolim de moura","RO",57.307,"Norte",NA,49902,6710.5326439822,724030.59,12.02356619,0,"Rolim de Moura"
"68",1100288,2010,"rolim de moura","RO",44.921,"Norte",NA,50249,11751.7363529622,957025.33,7.96035742,0,"Rolim de Moura"
"69",1100288,2014,"rolim de moura","RO",45.33,"Norte",NA,51142,16532.4,1006501.63,19.55340034,0,"Rolim de Moura"
"70",1100288,2018,"rolim de moura","RO",24.03,"Norte",NA,56664,21204.01,1082625.11,22.94225611,0,"Rolim de Moura"
"71",1100296,2014,"santa luzia d'oeste","RO",49.9,"Norte",NA,8476,14446.56,145765.96,11.79801793,0,"Santa Luzia D'Oeste"
"72",1100296,2018,"santa luzia d'oeste","RO",34.83,"Norte",NA,8362,17842.99,134440.6,0,0,"Santa Luzia D'Oeste"
"73",1100304,2006,"vilhena","RO",51.8,"Norte",NA,65785,10606.5212434446,1508626.79,21.28144714,0,"Vilhena"
"74",1100304,2010,"vilhena","RO",40.923,"Norte",NA,68405,16787.4424384182,1861085.62,32.16139171,0,"Vilhena"
"75",1100304,2014,"vilhena","RO",36.95,"Norte",NA,79616,22583.09,2140349.82,28.88866559,0,"Vilhena"
"76",1100304,2018,"vilhena","RO",18.69,"Norte",NA,93745,25822.66,2181232.29,62.93668996,0,"Vilhena"
"77",1100320,2006,"sao miguel do guapore","RO",49.207,"Norte",NA,31185,4083.82235048902,275356.01,12.82667949,0,"Sao Miguel do Guapore"
"78",1100320,2010,"sao miguel do guapore","RO",46.924,"Norte",NA,23283,8278.44349954903,312378.83,4.294979169,0,"Sao Miguel do Guapore"
"79",1100320,2014,"sao miguel do guapore","RO",44.64,"Norte",NA,21927,15229.29,397521.12,18.24234961,0,"Sao Miguel do Guapore"
"80",1100320,2018,"sao miguel do guapore","RO",32.87,"Norte",NA,24059,21385.41,463605.29,20.78224365,0,"Sao Miguel do Guapore"
"81",1100338,2006,"nova mamore","RO",36.822,"Norte",NA,20333,4560.66492893326,200498.72,49.18113412,0,"Nova Mamore"
"82",1100338,2010,"nova mamore","RO",39.032,"Norte",NA,21650,7612.33256351039,267097.38,64.66512702,0,"Nova Mamore"
"83",1100338,2014,"nova mamore","RO",52.31,"Norte",NA,23719,11711.08,330669.41,25.29617606,0,"Nova Mamore"
"84",1100338,2018,"nova mamore","RO",24.46,"Norte",NA,28255,14846.72,377988.54,31.85276942,0,"Nova Mamore"
"85",1100379,2006,"alto alegre dos parecis","RO",54.977,"Norte",NA,15449,4472.19884782187,149383.78,12.94582174,0,"Alto Alegre dos Parecis"
"86",1100379,2010,"alto alegre dos parecis","RO",43.694,"Norte",NA,11962,9176.80989801037,177905.55,0,0,"Alto Alegre dos Parecis"
"87",1100379,2014,"alto alegre dos parecis","RO",45.27,"Norte",NA,12833,16158.76,246851.82,23.37723058,0,"Alto Alegre dos Parecis"
"88",1100379,2018,"alto alegre dos parecis","RO",37.19,"Norte",NA,13993,16438.94,207270.43,14.29286072,0,"Alto Alegre dos Parecis"
"89",1100403,2006,"alto paraiso","RO",58.156,"Norte",NA,16504,4553.07804168686,162471.16,12.11827436,0,"Alto Paraiso"
"90",1100403,2010,"alto paraiso","RO",49.182,"Norte",NA,17169,7689.14904770225,213952.44,52.42005941,0,"Alto Paraiso"
"91",1100403,2014,"alto paraiso","RO",50.76,"Norte",NA,17742,11605.59,245114.99,11.27268628,0,"Alto Paraiso"
"92",1100403,2018,"alto paraiso","RO",28.36,"Norte",NA,20569,13957.19,258680.31,48.6168506,0,"Alto Paraiso"
