"","abrev_state","nomeMunicipio_geobr","code_muni","name_muni","info","lgbt_candidate","year","pop","ano","pib","impostos_liquidos","va","va_agropecuaria","va_industria","va_servicos","va_adespss","estado","lgbtq_mortes","lgbtq_homs"
"1","AC","Acrelândia",1200013,"acrelandia",NA,0,2020,15490,2019,253609712,17829490,235780222,65080039,10300202,60469226,99930754,NA,NA,0
"2","AC","Assis Brasil",1200054,"assis brasil",NA,0,2020,7534,2019,93054149,2405236,90648913,16913839,2388769,16990532,54355774,NA,NA,0
"3","AC","Brasiléia",1200104,"brasileia",NA,0,2020,26702,2019,454802574,61583024,393219550,62441134,29264951,128740348,172773117,NA,NA,0
"4","AC","Bujari",1200138,"bujari",NA,0,2020,10420,2019,157655612,2879552,154776060,59824118,4101172,22756543,68094227,NA,NA,0
"5","AC","Capixaba",1200179,"capixaba",NA,0,2020,12008,2019,153209713,4111181,149098531,46667310,2945493,20265770,79219958,NA,NA,0
"6","AC","Cruzeiro do Sul",1200203,"cruzeiro do sul",NA,0,2020,89072,2019,1440378526,121553058,1318825467,53940100,107871760,598709280,558304327,NA,NA,0
"7","AC","Epitaciolândia",1200252,"epitaciolandia",NA,0,2020,18696,2019,423163089,63832970,359330118,34178370,12738338,196069644,116343766,NA,NA,0
"8","AC","Feijó",1200302,"feijo",NA,0,2020,34884,2019,356965446,15256361,341709085,40979153,10618856,77885131,212225946,NA,NA,0
"9","AC","Jordão",1200328,"jordao",NA,0,2020,8473,2019,82484119,1771913,80712205,6754144,1998244,11458501,60501316,NA,NA,0
"10","AC","Mâncio Lima",1200336,"mancio lima",NA,0,2020,19311,2019,205845369,4690706,201154663,27386784,6525566,38971489,128270823,NA,NA,0
"11","AC","Manoel Urbano",1200344,"manoel urbano",NA,0,2020,9581,2019,131564877,8494808,123070069,19193996,15378776,24053941,64443356,NA,NA,0
"12","AC","Marechal Thaumaturgo",1200351,"marechal thaumaturgo",NA,0,2020,19299,2019,195237311,3335291,191902020,27933042,5029300,24770723,134168955,NA,NA,0
"13","AC","Plácido de Castro",1200385,"placido de castro",NA,0,2020,19955,2019,264937740,17397786,247539954,56487526,7542589,59197413,124312425,NA,NA,0
"14","AC","Porto Acre",1200807,"porto acre",NA,0,2020,18824,2019,227498896,5677031,221821865,64079667,5104963,32402872,120234363,NA,NA,0
"15","AC","Porto Walter",1200393,"porto walter",NA,0,2020,12241,2019,118846598,2599593,116247005,12748384,3185220,16833764,83479636,NA,NA,0
"16","AC","Rio Branco",1200401,"rio branco",NA,0,2020,413418,2019,9143620295,1268042908,7875577386,128862244,703960834,4449284664,2593469644,NA,NA,0
"17","AC","Rodrigues Alves",1200427,"rodrigues alves",NA,0,2020,19351,2019,191533849,3130499,188403350,29946201,4545563,25612847,128298739,NA,NA,0
"18","AC","Santa Rosa do Purus",1200435,"santa rosa do purus",NA,0,2020,6717,2019,75197666,1711809,73485857,12836283,1851240,10800319,47998015,NA,NA,0
"19","AC","Sena Madureira",1200500,"sena madureira",NA,0,2020,46511,2019,540235528,21151052,519084477,88586090,18480848,130902275,281115264,NA,NA,0
"20","AC","Senador Guiomard",1200450,"senador guiomard",NA,0,2020,23236,2019,361397526,23083490,338314036,73573239,14702638,98951979,151086180,NA,NA,0
"21","AC","Tarauacá",1200609,"tarauaca",NA,0,2020,43151,2019,483687298,22342978,461344320,57080158,14623510,116887430,272753221,NA,NA,0
"22","AC","Xapuri",1200708,"xapuri",NA,0,2020,19596,2019,275091050,17844975,257246075,59465875,14517180,60742477,122520543,NA,NA,0
"23","AL","Água Branca",2700102,"agua branca",NA,0,2020,20230,2019,161083739,5650137,155433602,17818949,8473019,42303651,86837983,NA,NA,0
"24","AL","Anadia",2700201,"anadia",NA,0,2020,17526,2019,202215149,5395119,196820030,65785454,10683925,41224501,79126151,NA,NA,0
"25","AL","Arapiraca",2700300,"arapiraca",NA,0,2020,233047,2019,4975188039,538153104,4437034935,714756421,382188376,2470540781,869549357,NA,NA,0
"26","AL","Atalaia",2700409,"atalaia",NA,0,2020,47365,2019,936761877,21163360,915598516,498349887,43362233,171811378,202075018,NA,NA,0
"27","AL","Barra de Santo Antônio",2700508,"barra de santo antonio",NA,0,2020,16068,2019,185001409,3407475,181593935,70486209,4639714,35284210,71183802,NA,NA,0
"28","AL","Barra de São Miguel",2700607,"barra de sao miguel",NA,0,2020,8378,2019,215072936,10086926,204986010,40848499,18337740,101558914,44240857,NA,NA,0
